concept_id,block,chosen_source,matched_title_or_gloss,match_score,attribution_url,note
weather,weather,signbank,WEATHER,3,https://aslsignbank.com/dictionary/gloss/2268.html,"reviewed override: CATS 'climate,tenor,air' is the mood sense"
forecast,weather,cats,forecast,3,https://archive.org/details/forecastASL,
sunny,weather,cats,sun,3,https://archive.org/details/sunASL,
clear,weather,signbank,CLEAR,3,https://aslsignbank.com/dictionary/gloss/1065.html,"reviewed override: CATS 'let,allow,clear' is permission"
cloudy,weather,cats,cloud,3,https://archive.org/details/cloudASL,
rain,weather,cats,rain,3,https://archive.org/details/rainASL,
thunderstorm,weather,cats,storm,3,https://archive.org/details/stormASL,
lightning,weather,cats,lightning,3,https://archive.org/details/lightningASL,
snow,weather,cats,snow,3,https://archive.org/details/snowASL,
ice,weather,cats,ice,3,https://archive.org/details/iceASL,
fog,weather,cats,"fog,foggy",2,https://archive.org/details/fogfoggyASL,
wind,weather,cats,"wind,windy-curvy",2,https://archive.org/details/windwindyASL,
calm,weather,cats,"calm,cool,sedate,serene,unshaken,docile,placid,somnolent,equanimity,compose,unstressed,easy",2,https://archive.org/details/calmcoolsedatesereneunshakendocileplacidsomnolentequanimitycomposeunstressedeasyASL,
hot,weather,signbank,HOT,3,https://aslsignbank.com/dictionary/gloss/485.html,"reviewed override: CATS 'hot,live-electricity' is the electrical sense"
warm,weather,cats,warm,3,https://archive.org/details/warmASL,
cool,weather,cats,"cooler,coolest",2,https://archive.org/details/coolercoolestASL,
cold,weather,cats,cold,3,https://archive.org/details/coldASL,
temperature,weather,cats,temperature,3,https://archive.org/details/temperatureASL,
high,weather,cats,"maximum,max",2,https://archive.org/details/maximummaxASL,
low,weather,cats,minimum,3,https://archive.org/details/minimumASL,
humid,weather,cats,humid,3,https://archive.org/details/humidASL,
dry,weather,cats,dry,3,https://archive.org/details/dryASL,
wet,weather,cats,"wet,soggy",2,https://archive.org/details/wetsoggyASL,
chance,weather,cats,likely,3,https://archive.org/details/likelyASL,
percent,weather,cats,Percent,3,https://archive.org/details/PercentASL,
precipitation,weather,cats,precipitation,3,https://archive.org/details/precipitationASL,
storm,weather,cats,storm,3,https://archive.org/details/stormASL,
hurricane,weather,cats,hurricane,3,https://archive.org/details/hurricaneASL,
tornado,weather,cats,tornado,3,https://archive.org/details/tornadoASL,
flood,weather,cats,"flood,fill,flush",2,https://archive.org/details/floodfillflushASL2,
warning,weather,signbank,WARN,3,https://aslsignbank.com/dictionary/gloss/1411.html,"reviewed override: CATS 'conscious,alert' is awake"
danger,weather,cats,risk,3,https://archive.org/details/riskASL,
sky,weather,cats,"sky,celestial,heaven",2,https://archive.org/details/skycelestialheavenASL,
morning,weather,cats,"morning,a.m..mp4",2,https://archive.org/details/morninga.m.ASL,
afternoon,weather,cats,afternoon,3,https://archive.org/details/afternoonASL,
evening,weather,cats,evening,3,https://archive.org/details/eveningASL,
tonight,weather,cats,tonight,3,https://archive.org/details/tonightASL,
night,weather,cats,night,3,https://archive.org/details/nightASL,
today,weather,cats,today,3,https://archive.org/details/todayASL,
tomorrow,weather,cats,tomorrow,3,https://archive.org/details/tomorrowASL,
day,weather,cats,day,3,https://archive.org/details/dayASL,
week,weather,cats,week,3,https://archive.org/details/weekASL,
weekend,weather,cats,weekend,3,https://archive.org/details/weekendASL,
monday,weather,cats,monday,3,https://archive.org/details/mondayASL,
tuesday,weather,signbank,TUESDAY,2,https://aslsignbank.com/dictionary/gloss/665.html,
wednesday,weather,cats,wednesday,3,https://archive.org/details/wednesdayASL,
