concept_id,gloss,keywords,source,asllex_z,signbank_hint,status
weather,WEATHER,"weather, climate",weather,0.176,WEATHER,planned
forecast,FORECAST,"forecast, predict",weather,,,planned
sunny,SUNNY,"sunny, sun, sunshine",weather,,,planned
clear,CLEAR,"clear, mostly clear",weather,0.108,CLEAR,planned
cloudy,CLOUDY,"cloudy, cloud, clouds, overcast, partly cloudy",weather,,,planned
rain,RAIN,"rain, rainy, showers, rainfall, drizzle",weather,0.917,RAIN,planned
thunderstorm,THUNDERSTORM,"thunderstorm, thunderstorms, thunder, storms",weather,,,planned
lightning,LIGHTNING,lightning,weather,-0.632,LIGHTNING,planned
snow,SNOW,"snow, snowy, flurries",weather,0.67,SNOWstr,planned
ice,ICE,"ice, icy, sleet, freezing rain",weather,0.242,,planned
fog,FOG,"fog, foggy, mist",weather,,,planned
wind,WIND,"wind, winds, windy, breeze, breezy, gusty, gusts",weather,0.342,WIND,planned
calm,CALM,"calm, light winds",weather,0.493,QUIET,planned
hot,HOT,"hot, heat, heat index",weather,1.105,HOT,planned
warm,WARM,"warm, warmer",weather,-0.137,WARM,planned
cool,COOL,"cool, cooler",weather,0.993,,planned
cold,COLD,"cold, chilly, freeze, freezing, frost",weather,0.946,COLD,planned
temperature,TEMPERATURE,"temperature, temperatures, degrees",weather,,,planned
high,HIGH,"high, highs, maximum",weather,0.44,,planned
low,LOW,"low, lows, minimum",weather,,,planned
humid,HUMID,"humid, humidity, muggy",weather,,,planned
dry,DRY,"dry, drier",weather,0.735,DRY,planned
wet,WET,wet,weather,-0.06,WETch,planned
chance,CHANCE,"chance, possible, possibly, likely, probability",weather,0.098,CHANCE,planned
percent,PERCENT,"percent, %",weather,-0.503,,planned
precipitation,PRECIPITATION,precipitation,weather,,,planned
storm,STORM,storm,weather,,,planned
hurricane,HURRICANE,"hurricane, tropical storm",weather,-0.415,~HURRICANE,planned
tornado,TORNADO,"tornado, twister",weather,-1.101,TORNADO,planned
flood,FLOOD,"flood, flooding",weather,,,planned
warning,WARNING,"warning, warn, alert, advisory, watch",weather,,,planned
